p,   q,aic,bic,mse,maep
0,0,-36999.126546188854,-36984.95699189085,0.00032558669258806524,13130291478.287632
0,1,-37001.67724489082,-36980.42291344382,0.000325585533544337,13184273383.705835
0,2,-37005.93604940425,-36977.596940808246,0.00032558011126786695,13191496852.589025
0,3,-37014.482910168925,-36979.05902442392,0.00032557090214538266,13153845212.541025
0,4,-37019.88657273361,-36977.377909839604,0.00032557317332398294,13158716739.435575
1,0,-37001.43405577414,-36980.179724327136,0.0003255854386007548,13191496861.195187
1,1,-36996.893085963085,-36968.55397736708,0.00032558759571673474,13134434636.260357
1,2,-37003.738352391025,-36968.31446664602,0.0003255802028988017,13191496858.098534
1,3,-37019.132069785366,-36976.62340689136,0.00032557672180456637,13127632161.05236
1,4,-37017.89566916372,-36968.302229120716,0.00032557462729415355,13158438145.402979
2,0,-37007.13292855285,-36978.793819956845,0.0003255808599137333,13142165212.420313
2,1,-37004.9474025784,-36969.5235168334,0.00032558154541631283,13122711030.09791
2,2,-37010.31997171754,-36967.81130882353,0.00032557253185020655,13130566915.276157
2,3,-37016.78934490219,-36967.19590485918,0.00032557565678030493,13154399785.585747
2,4,-37016.57678043016,-36959.89856323815,0.00032557735669851764,13159250390.787579
3,0,-37014.30110675363,-36978.877221008624,0.0003255699446969078,13181469185.720472
3,1,-37012.48161353185,-36969.97295063784,0.0003255700480607408,13177504216.358347
3,2,-37017.45559050213,-36967.86215045913,0.00032557337707279433,13173989978.033539
3,3,-37015.14076303579,-36958.46254584379,0.0003255685319247547,13157206346.73835
3,4,-37016.358263386865,-36952.59526904586,0.00032557705808818706,13159109877.687513
4,0,-37019.934555825195,-36977.42589293119,0.0003255708589638973,13137925496.40388
4,1,-37017.95180097646,-36968.35836093345,0.00032556952589112524,13191496860.895517
4,2,-37016.993133215015,-36960.31491602301,0.0003255807922745669,13189367332.887712
4,3,-37015.62741904265,-36951.86442470164,0.00032557567584605174,13158176638.846424
4,4,-37015.131019709355,-36944.28324821935,0.00032557942576524066,13142299232.451883
